id,userID,gameSessionID,questionID,answer,time
25793,628825449,8,3,1,2021-12-22 21:34:48+00:00
25792,628825449,8,1,2,2021-12-22 21:34:41+00:00
25791,628825449,8,0,4,2021-12-22 21:34:26+00:00
25790,628825449,8,1,3,2021-12-22 21:33:39+00:00
25789,628825449,8,3,1,2021-12-22 21:33:33+00:00
25788,628825449,8,2,1,2021-12-22 21:33:30+00:00
25787,628825449,8,0,0,2021-12-22 21:33:24+00:00
25786,3979696,17,3,1,2022-03-03 20:08:27+00:00
25785,3979696,17,2,1,2022-03-03 20:08:25+00:00
25784,3979696,17,1,2,2022-03-03 20:08:24+00:00
25783,3979696,17,0,2,2022-03-03 20:08:22+00:00
25782,3979696,17,3,1,2022-03-03 20:07:46+00:00
25781,3979696,17,2,2,2022-03-03 20:07:45+00:00
25780,3979696,17,1,3,2022-03-03 20:07:42+00:00
25779,3979696,17,0,3,2022-03-03 20:07:41+00:00
25778,3979696,17,1,2,2022-03-03 20:07:04+00:00
25777,3979696,17,2,1,2022-03-03 20:07:02+00:00
25776,3979696,17,3,1,2022-03-03 20:07:00+00:00
25775,3979696,17,0,2,2022-03-03 20:06:56+00:00
25774,3979696,17,2,1,2022-03-03 14:20:39+00:00
25773,3979696,17,1,0,2022-03-03 14:20:37+00:00
25772,3979696,17,3,1,2022-03-03 14:20:14+00:00
25771,3979696,17,0,2,2022-03-03 14:20:12+00:00
25770,649772868,17,2,1,2022-03-03 17:02:32+00:00
25769,649772868,17,3,1,2022-03-03 17:02:30+00:00
25768,649772868,17,1,2,2022-03-03 17:02:27+00:00
25767,649772868,17,0,0,2022-03-03 17:02:23+00:00
25766,649772868,17,1,3,2022-03-03 17:01:43+00:00
25765,649772868,17,2,1,2022-03-03 17:01:40+00:00
25764,649772868,17,3,2,2022-03-03 17:01:37+00:00
25763,649772868,17,0,3,2022-03-03 17:01:33+00:00
25762,649772868,17,1,2,2022-03-03 17:00:54+00:00
25761,649772868,17,2,1,2022-03-03 17:00:49+00:00
25760,649772868,17,3,1,2022-03-03 17:00:46+00:00
25759,649772868,17,0,0,2022-03-03 17:00:44+00:00
25758,649772868,17,2,1,2022-03-03 17:00:04+00:00
25757,649772868,17,3,2,2022-03-03 17:00:01+00:00
25756,649772868,17,1,2,2022-03-03 16:59:57+00:00
25755,649772868,17,0,0,2022-03-03 16:59:53+00:00
25754,2085617431,2,0,0,2022-02-25 11:13:07+00:00
25753,2085617431,2,1,3,2022-02-25 11:12:25+00:00
25752,2085617431,2,3,2,2022-02-25 11:12:17+00:00
25751,2085617431,2,2,1,2022-02-25 11:12:08+00:00
25750,2085617431,2,0,1,2022-02-25 11:12:01+00:00
25749,39005574,14,1,2,2022-02-28 08:59:03+00:00
25748,39005574,14,3,1,2022-02-28 08:59:00+00:00
25747,39005574,14,2,1,2022-02-28 08:58:56+00:00
25746,39005574,14,0,3,2022-02-28 08:58:54+00:00
25745,39005574,14,3,1,2022-02-28 08:58:14+00:00
25744,39005574,14,1,2,2022-02-28 08:58:08+00:00
25743,39005574,14,2,1,2022-02-28 08:58:03+00:00
25742,39005574,14,0,3,2022-02-28 08:58:00+00:00
25741,39005574,13,3,1,2022-02-27 13:44:24+00:00
25740,39005574,13,2,1,2022-02-27 13:44:22+00:00
25739,39005574,13,1,2,2022-02-27 13:44:21+00:00
25738,39005574,13,0,1,2022-02-27 13:44:19+00:00
25737,39005574,13,2,1,2022-02-27 13:43:43+00:00
25736,39005574,13,1,2,2022-02-27 13:43:41+00:00
25735,39005574,13,3,1,2022-02-27 13:43:39+00:00
25734,39005574,13,0,1,2022-02-27 13:43:37+00:00
